"referencia","descr_produto","QTD Vendida","tipo_evento","essential_Y_N","tipo_colecao"
S586AE006,TÊNIS JOGGING PRATA,130,VERÃO 2026,Não,V26
S5867F616,TÊNIS RECORTES NUDE,129,VERÃO 2026,Não,V26
S5869O724,SANDÁLIA PEDRAS DOURADO,129,VERÃO 2026,Não,V26
S58649002,SCARPIN TACHAS PRETO,128,VERÃO 2026,Não,V26
S5867C012,RASTEIRA TACHAS CARAMELO,127,VERÃO 2026,Não,V26
S5865E002,PAPETE ENFEITE PRETO,127,VERÃO 2026,Não,V26
S5863U045,RASTEIRA ENFEITE TRIANGULAR VERDE,126,VERÃO 2026,Não,V26
S58677170,ANABELA SPIKES MARROM,126,VERÃO 2026,Não,V26
S5866I012,TAMANCO CLOG CARAMELO,125,VERÃO 2026,Não,V26
S586A4012,TAMANCO LAÇO CARAMELO,124,VERÃO 2026,Não,V26
S5863J002,RASTEIRA ENFEITES FLOR PRETO,124,VERÃO 2026,Não,V26
S586A2616,RASTEIRA ENFEITES OVAIS NUDE,123,VERÃO 2026,Não,V26
S586A4055,TAMANCO LAÇO PALHA,122,VERÃO 2026,Não,V26
S5863O012,PAPETE COMFORT FIVELA CARAMELO,121,VERÃO 2026,Não,V26
S5868C012,RASTEIRA TACHAS CARAMELO,121,VERÃO 2026,Não,V26
S5863M010,PAPETE COMFORT ENFEITES BEGE,121,VERÃO 2026,Não,V26
S58641170,SANDÁLIA MEIA ESFERAS MARROM,121,VERÃO 2026,Não,V26
S5869J002,SANDÁLIA FIVELA PRETO,119,VERÃO 2026,Não,V26
S5852P002,SANDÁLIA DE TIRAS PRETO,118,VERÃO 2026,Não,V26
S58641724,SANDÁLIA MEIA ESFERAS DOURADO,118,VERÃO 2026,Não,V26
S5869K616,PAPETE STRASS NUDE,117,VERÃO 2026,Não,V26
S585FP002,SANDÁLIA STRASS PRETO,116,VERÃO 2026,Não,V26
S5864Z010,RASTEIRA BRILHO NÓ BEGE,115,VERÃO 2026,Não,V26
S5865G018,RASTEIRA TACHAS AMARELO,115,VERÃO 2026,Não,V26
S5869G003,TÊNIS RECORTES LASER BRANCO,115,VERÃO 2026,Não,V26
S5867F005,TÊNIS RECORTES AZUL,115,VERÃO 2026,Não,V26
S5867J003,TÊNIS MULTI RECORTES BRANCO,115,VERÃO 2026,Não,V26
S5866D022,RASTEIRA ENFEITE ROSA,113,VERÃO 2026,Não,V26
S58669881,RASTEIRA ESFERAS OFF WHITE,109,VERÃO 2026,Não,V26
S58675012,RASTEIRA ENFEITE CARAMELO,108,VERÃO 2026,Não,V26
C5864A616,ANABELA NÓ ENFEITE NUDE,108,VERÃO 2026,Não,V26
S5865A170,SANDÁLIA TACHAS MARROM,107,VERÃO 2026,Não,V26
S5868L724,SAPATILHA LAÇO E TACHAS DOURADO,107,VERÃO 2026,Não,V26
C58670616,MOCASSIM BRIDÃO NUDE,106,VERÃO 2026,Não,V26
S58698881,TAMANCO ENFEITE QUADRADO OFF WHITE,105,VERÃO 2026,Não,V26
S5868M012,SAPATILHA LASER ENFEITE CARAMELO,104,VERÃO 2026,Não,V26
S5863P009,RASTEIRA BICO FOLHA ENFEITE CAFE,103,VERÃO 2026,Não,V26
S5864R170,RASTEIRA MACRAMÊ MARROM,103,VERÃO 2026,Não,V26
S5864K002,SCARPIN FIVELAS CALCE FÁCIL PRETO,103,VERÃO 2026,Não,V26
S5869L881,SANDÁLIA STRASS OFF WHITE,102,VERÃO 2026,Não,V26
S5864S881,SANDÁLIA MACRAMÊ OFF WHITE,102,VERÃO 2026,Não,V26
S5865C012,RASTEIRA ENFEITE OVAL CARAMELO,101,VERÃO 2026,Não,V26
S5866B002,RASTEIRA ENFEITE PRETO,100,VERÃO 2026,Não,V26
S58695724,SANDÁLIA NÓS DOURADO,99,VERÃO 2026,Não,V26
S5863K170,RASTEIRA RECORTES E ENFEITES MARROM,99,VERÃO 2026,Não,V26
S58677616,ANABELA SPIKES NUDE,98,VERÃO 2026,Não,V26
S585RD006,RASTEIRA STRASS PRATA,98,VERÃO 2026,Não,V26
S5864I881,TAMANCO PLATAFORMA SPIKES OFF WHITE,97,VERÃO 2026,Não,V26
S5864Q881,SCARPIN TRESSÊ OFF WHITE,97,VERÃO 2026,Não,V26
S5868J002,SANDÁLIA FESTA STRASS PRETO,96,VERÃO 2026,Não,V26
S585TN881,PAPETE PEDRARIA OFF WHITE,95,VERÃO 2026,Não,V26
S58667010,RASTEIRA FLOR BEGE,95,VERÃO 2026,Não,V26
S5864X724,SAPATILHA TRESSÊ DOURADO,94,VERÃO 2026,Não,V26
S5866M012,SANDÁLIA MACRAMÊ CARAMELO,94,VERÃO 2026,Não,V26
S5868W005,RASTEIRA ESFERA AZUL,92,VERÃO 2026,Não,V26
S5868V012,SAPATILHA RECORTES CARAMELO,92,VERÃO 2026,Não,V26
S5866L044,RASTEIRA MACRAMÊ PRATA VELHO,91,VERÃO 2026,Não,V26
S58678012,ANABELA ENFEITE ESFERAS CARAMELO,90,VERÃO 2026,Não,V26
S5865F018,SANDÁLIA TACHAS AMARELO,90,VERÃO 2026,Não,V26
S58690006,RASTEIRA PEDRARIA PRATA,90,VERÃO 2026,Não,V26
S5865G005,RASTEIRA TACHAS AZUL,89,VERÃO 2026,Não,V26
S5866F009,RASTEIRA ENFEITE CAFE,89,VERÃO 2026,Não,V26
S5866P012,ANABELA ARGOLA CARAMELO,89,VERÃO 2026,Não,V26
S5868M881,SAPATILHA LASER ENFEITE OFF WHITE,89,VERÃO 2026,Não,V26
S5852P724,SANDÁLIA DE TIRA DOURADO,88,VERÃO 2026,Não,V26
S5868U012,RASTEIRA PEDRAS CARAMELO,88,VERÃO 2026,Não,V26
S58665045,PAPETE FIVELA VERDE,88,VERÃO 2026,Não,V26
S5863P881,RASTEIRA BICO FOLHA ENFEITE OFF WHITE,87,VERÃO 2026,Não,V26
S5868H002,SAPATILHA FIVELA E TACHAS PRETO,87,VERÃO 2026,Não,V26
S5866Y881,SANDÁLIA TACHAS OFF WHITE,87,VERÃO 2026,Não,V26
S5866Y039,SANDÁLIA TACHAS BORDO,87,VERÃO 2026,Não,V26
S5868L120,SAPATILHA LAÇO E TACHAS BRANCO C/ PRETO,87,VERÃO 2026,Não,V26
S5866I002,TAMANCO CLOG PRETO,85,VERÃO 2026,Não,V26
S5868K018,SCARPIN SLINGBACK AMARELO,84,VERÃO 2026,Não,V26
S5864U170,TAMANCO PESPONTO MARROM,84,VERÃO 2026,Não,V26
